show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Dick Johnson Is Dead,Cristopher Abbott,Chris Abbott,United States,"September 25, 2021",2020,PG-13,90 min,"Documentaries","As her father's Alzheimer's worsens, filmmaker Kirsten Johnson stages his death in a moving exploration of mortality and love."
s2,TV Show,The Queen's Gambit,Anya Taylor-Joy,"Anya Taylor-Joy, Chloe Pirrie",United States,"October 23, 2020",2020,TV-14,1 Season,"Dramas, International TV Shows","In 1960s America, an orphaned chess prodigy struggles with addiction and personal challenges while mastering the game."
s3,Movie,The Crown,John Lithgow,"John Lithgow, Olivia Colman",United Kingdom,"November 1, 2020",2019,R,120 min,"Dramas, International Movies","A riveting portrayal of Queen Elizabeth II's early reign and the events that shaped the second half of the 20th century."
s4,TV Show,Stranger Things,Millie Bobby Brown,"Millie Bobby Brown, Finn Wolfhard",United States,"July 4, 2020",2016,TV-14,3 Seasons,"Sci-Fi & Fantasy, TV Mysteries","When a young boy vanishes, a small town uncovers supernatural mysteries in this 1980s-set series."
s5,Movie,Bridgerton,Jonathan Bailey,"Jonathan Bailey, Nicola Coughlan",United Kingdom,"December 25, 2020",2020,TV-MA,110 min,"Romantic TV Shows, TV Dramas","A historical romance series set in Regency London, following the lives of the Bridgerton family and their romantic pursuits."
s6,TV Show,Ozark,Jason Bateman,"Jason Bateman, Laura Linney",United States,"March 27, 2020",2017,TV-MA,3 Seasons,"Crime TV Shows, TV Dramas","A financial advisor launderer relocates his family to the Ozarks to appease a drug lord, risking everything for money."
s7,Movie,The Irishman,Robert De Niro,"Robert De Niro, Al Pacino",United States,"November 27, 2019",2019,R,209 min,"Dramas, Movies","A hitman recalls his career and relationships with the Bufalino crime family and the disappearance of Jimmy Hoffa."
s8,TV Show,Money Heist,Úrsula Corberó,"Úrsula Corberó, Álvaro Morte",Spain,"July 20, 2018",2017,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows","A criminal mastermind recruits eight people to carry out an impossible heist inside the Spanish Royal Mint."
s9,Movie,The Witcher,Henry Cavill,"Henry Cavill, Anya Chalotra",Poland,"December 14, 2019",2019,R,146 min,"Action & Adventure, Sci-Fi & Fantasy","Geralt of Rivia, a mutated monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
s10,TV Show,Dark,Louis Hofmann,"Louis Hofmann, Maja Schöne",Germany,"December 1, 2020",2017,TV-MA,3 Seasons,"International TV Shows, TV Dramas","A missing child sets four families on a frantic search that exposes a time travel conspiracy in a small German town."
s11,Movie,Extraction,Chris Hemsworth,"Chris Hemsworth, Rudhraksh Jaiswal",United States,"April 24, 2020",2020,R,117 min,"Action & Adventure, Movies","A black-market mercenary who has nothing to lose finds his skills as a soldier tested when he's tasked with extracting a boy."
s12,TV Show,The Umbrella Academy,Ellen Page,"Ellen Page, Tom Hopper",United States,"April 16, 2020",2019,TV-14,2 Seasons,"Sci-Fi & Fantasy, TV Action & Adventure","A dysfunctional family of superheroes must overcome their differences to prevent the apocalypse that threatens to destroy the world."
s13,Movie,Bad Education,Hugh Jackman,"Hugh Jackman, Allison Janney",United States,"September 7, 2019",2019,R,108 min,"Comedies, Dramas","A corrupt ex-principal becomes a whistle-blower in this true story of the largest public school embezzlement in U.S. history."
s14,TV Show,Elite,Miguel Herrán,"Miguel Herrán, Itzan Escamilla",Spain,"December 7, 2018",2018,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows","Three middle-class students from Madrid begin attending an exclusive private school, where they uncover secrets."
s15,Movie,The Platform,Iván Massagué,"Iván Massagué, Antonia San Juan",Spain,"March 27, 2020",2019,R,94 min,"Horror Movies, International Movies","In a vertical prison, prisoners in each cell must figure out how to feed themselves from a daily descending platform."
s16,TV Show,Sherlock,Benedict Cumberbatch,"Benedict Cumberbatch, Martin Freeman",United Kingdom,"August 24, 2017",2010,TV-14,4 Seasons,"British TV Shows, Crime TV Shows","Consulting detective Sherlock Holmes solves mysteries with his partner Dr. John Watson in modern-day London."
s17,Movie,The Social Dilemma,Jeffrey G. Smith,"Jeffrey G. Smith, Tristan Harris",United States,"September 9, 2020",2020,PG-13,94 min,"Documentaries, Science & Nature TV","Tech experts expose the dangerous impact of social networking platforms on society and mental health."
s18,TV Show,Emily in Paris,Lily Collins,"Lily Collins, Philippine Leroy-Beaulieu",United States,"October 2, 2020",2020,TV-14,1 Season,"Romantic TV Shows, TV Comedies","A young American marketing executive moves to Paris for work and struggles to fit in with her French colleagues."
s19,Movie,Enola Holmes,Milly Bobby Brown,"Milly Bobby Brown, Henry Cavill",United States,"September 23, 2020",2020,PG-13,123 min,"Action & Adventure, Comedies","A teenage girl escapes to find her missing mother and discovers her own sleuthing talents in Victorian-era London."
s20,TV Show,The Kominsky Method,Alan Arkin,"Alan Arkin, Michael Douglas",United States,"November 16, 2018",2018,TV-MA,2 Seasons,"TV Comedies, TV Dramas","An aging actor and his agent navigate life's challenges in the golden years in modern-day Los Angeles."
